case,split
Case001-,training
Case002-,training
Case003-,training
Case004-,training
Case006-,training
Case007-,training
Case008-,training
Case011-,training
Case012-,training
Case014-,training
Case015-,training
Case017-,training
Case018-,training
Case019-,training
Case020-,training
Case021-,training
Case022-,training
Case023-,training
Case024-,training
Case025-,training
Case026-,training
Case027-,training
Case028-,training
Case029-,training
Case030-,training
Case031-,training
Case032-,training
Case034-,training
Case053-,training
Case055-,training
Case059-,training
Case065-,training
Case066-,training
Case067-,training
Case068-,training
Case071-,training
Case074-,training
Case079-,training
Case080-,training
Case082-,training
Case083-,training
Case084-,training
Case085-,training
Case086-,training
Case087-,training
Case088-,training
Case090-,training
Case091-,training
Case092-,training
Case093-,training
Case094-,training
Case095-,training
Case096-,training
Case097-,training
Case098-,training
Case099-,training
Case100-,training
Case101-,training
Case102-,training
Case103-,training
Case104-,training
Case105-,training
Case107-,training
Case108-,training
Case109-,training
Case110-,training
Case111-,training
Case112-,training
Case113-,training
Case114-,training
Case013-,validation
Case069-,inference
Case076-,inference
Case077-,inference
Case081-,inference
Case089-,inference
Case036-,inference
Case037-,inference
Case038-,inference
Case039-,inference
Case041-,inference
Case042-,inference
Case044-,inference
Case045-,inference
Case049-,inference
Case051-,inference
Case052-,inference
Case054-,inference
Case056-,inference
Case057-,inference
Case058-,inference
Case061-,inference
Case063-,inference
Case062-,inference
Case040-,inference
Case035-,inference
Case043-,inference
Case046-,inference
Case048-,inference
Case050-,inference
Case060-,inference
Case064-,inference
Case070-,inference
Case075-,inference
